level0,level1,level2,level3a,domain,comments
,Ashs,Ash,Ash,Eastern Townships,
,Basswood,Basswood,Basswood,Eastern Townships,
,Bay,Bay,Other hardwood,Eastern Townships,
,Beech,Beech,Beech,Eastern Townships,
,Birches,Birch,Birch,Eastern Townships,
,Buttonwood,Buttonwood,Sycamore,Eastern Townships,
,Catalpa,Catalpa,Other hardwood,Eastern Townships,
,Cedar,Cedar,Cedar/juniper,Eastern Townships,
,Chamaeis,Atlantic white cedar,Atlantic white cedar,Eastern Townships,
,Cherries,Cherries,Cherry,Eastern Townships,
,Chestnut,Chestnut,Chestnut,Eastern Townships,
,Elms,Elms,Elm,Eastern Townships,
,Fir,Fir,Fir,Eastern Townships,
,Hemlock,Hemlock,Hemlock,Eastern Townships,
,Hickories,Hickory,Hickory,Eastern Townships,
,Holly,Holly,Other hardwood,Eastern Townships,
,Ironwoods,Ironwood,Ironwood,Eastern Townships,
,Juglans,Juglans,Walnut,Eastern Townships,
,KentuckyCoffee,Kentucky coffee tree,Other hardwood,Eastern Townships,
,Liriodendron,Liriodendron,Tulip poplar,Eastern Townships,
,Locust,Locust,Locust,Eastern Townships,
,Magnolia,Magnolia,Other hardwood,Eastern Townships,
,Maples,Maple,Maple,Eastern Townships,
,Mullberry,Mullberry,Mulberry,Eastern Townships,
,Nyssa,Black gum,Black gum,Eastern Townships,
,Oaks,Oak,Oak,Eastern Townships,
,Other,Other,Other hardwood,Eastern Townships,
,PawPaw,Paw paw,Other hardwood,Eastern Townships,
,Persimmon,Persimmon,Other hardwood,Eastern Townships,
,Pines,Pines,Pine,Eastern Townships,
,Poplars,Poplar,Poplar/tulip poplar,Eastern Townships,
,Redbud,Red bud,Other hardwood,Eastern Townships,
,Sourwood,Sourwood,Other hardwood,Eastern Townships,
,Spruces,Spruce,Spruce,Eastern Townships,
,SweetGum,Sweet gum,Sweet gum,Eastern Townships,
,Tamarack,Tamarack,Tamarack,Eastern Townships,
88888,88888,Name illegible,Unknown tree,Illinois v2.0,
99999,99999,Name missing,Unknown tree,Illinois v2.0,
3-pronged maple,3-pronged maple,Maple,Maple,Illinois v2.0,
88888 nut,88888 nut,Unknown tree,Unknown tree,Illinois v2.0,NA
88888 o,88888 o,Oak,Oak,Illinois v2.0,
88888 oak,88888 oak,Oak,Oak,Illinois v2.0,
allim,allim,Elm,Elm,Illinois v2.0,
another maple,another maple,Maple,Maple,Illinois v2.0,
apple tree,apple tree,Other hardwood,Other hardwood,Illinois v2.0,
ash,ash,Ash,Ash,Illinois v2.0,
Ash,Ash,Ash,Ash,Illinois v2.0,
asp,asp,Aspen,Poplar,Illinois v2.0,
aspen,aspen,Aspen,Poplar,Illinois v2.0,
aspin,aspin,Aspen,Poplar,Illinois v2.0,
b,b,Unknown tree,Unknown tree,Illinois v2.0,
b 88888,b 88888,Unknown tree,Unknown tree,Illinois v2.0,NA
b ash,b ash,Black/blue ash,Ash,Illinois v2.0,
b cherry,b cherry,Cherry,Cherry,Illinois v2.0,
b elder,b elder,Box elder,Maple,Illinois v2.0,
b eye,b eye,Buckeye,Buckeye,Illinois v2.0,
b gum,b gum,Black gum,Black gum,Illinois v2.0,
b hickory,b hickory,Hickory,Hickory,Illinois v2.0,
b jack,b jack,Blackjack oak,Oak,Illinois v2.0,
b jack bush,b jack bush,Black jack oak,Oak,Illinois v2.0,
b jack oak,b jack oak,Black jack oak,Oak,Illinois v2.0,
b jak,b jak,Oak,Oak,Illinois v2.0,
b locust,b locust,Locust,Locust,Illinois v2.0,
b o,b o,Black/burr oak,Oak,Illinois v2.0,
b oa,b oa,Oak,Oak,Illinois v2.0,
b oak,b oak,Black/burr oak,Oak,Illinois v2.0,
b oak bush,b oak bush,Oak,Oak,Illinois v2.0,
b oak sapling,b oak sapling,Oak,Oak,Illinois v2.0,
b ok,b ok,Oak,Oak,Illinois v2.0,
b oke,b oke,Black/burr oak,Oak,Illinois v2.0,
b wal,b wal,Black walnut,Walnut,Illinois v2.0,
b walnut,b walnut,Black walnut,Walnut,Illinois v2.0,
b walt,b walt,Black walnut,Walnut,Illinois v2.0,
b watt,b watt,Black walnut,Walnut,Illinois v2.0,
b. ash,b. ash,Black ash,Ash,Illinois v2.0,
b. eye,b. eye,Buckeye,Buckeye,Illinois v2.0,
b. gum,b. gum,Black gum,Black gum,Illinois v2.0,
b. hickory,b. hickory,Hickory,Hickory,Illinois v2.0,
b. jack,b. jack,Black jack oak,Oak,Illinois v2.0,
b. o,b. o,Oak,Oak,Illinois v2.0,
b. o.,b. o.,Oak,Oak,Illinois v2.0,
b. oak,b. oak,Black/burr oak,Oak,Illinois v2.0,
b. oak bush,b. oak bush,Oak,Oak,Illinois v2.0,
b. walnut,b. walnut,Black walnut,Walnut,Illinois v2.0,
b.o,b.o,Oak,Oak,Illinois v2.0,
b.o.,b.o.,Black/burr oak,Oak,Illinois v2.0,
balnut,balnut,Black walnut,Walnut,Illinois v2.0,
beach,beach,Beech,Beech,Illinois v2.0,
beech,beech,Beech,Beech,Illinois v2.0,
birch,birch,Birch,Birch,Illinois v2.0,
bj,bj,Blackjack oak,Oak,Illinois v2.0,
bj oak,bj oak,Black jack oak,Oak,Illinois v2.0,
bk o,bk o,Black oak,Oak,Illinois v2.0,
bk oak,bk oak,Black oak,Oak,Illinois v2.0,
bl jack oak,bl jack oak,Black jack oak,Oak,Illinois v2.0,
bl oak,bl oak,Black oak,Oak,Illinois v2.0,
bl walnut,bl walnut,Black walnut,Walnut,Illinois v2.0,
black,black,Unknown tree,Unknown tree,Illinois v2.0,CVC probably black oak given abundance. JP agrees this is probably true - but would feel better if we checked the townships these were in to see if only other black oaks were listed and taxa such as walnut, cherry or ashes are not
black 88888,black 88888,Unknown tree,Unknown tree,Illinois v2.0,
black ash,black ash,Black ash,Ash,Illinois v2.0,
black cherry,black cherry,Cherry,Cherry,Illinois v2.0,
black gum,black gum,Black gum,Black gum,Illinois v2.0,
black hickory,black hickory,Black hickory,Hickory,Illinois v2.0,
black jack,black jack,Blackjack oak,Oak,Illinois v2.0,
black o,black o,Black oak,Oak,Illinois v2.0,
black o.,black o.,Black oak,Oak,Illinois v2.0,
black oak,black oak,Black oak,Oak,Illinois v2.0,
black oak stump,black oak stump,Black oak,Oak,Illinois v2.0,
black or red oak,black or red oak,Oak,Oak,Illinois v2.0,
black walnut,black walnut,Black walnut,Walnut,Illinois v2.0,
blackjack,blackjack,Blackjack oak,Oak,Illinois v2.0,
blak oak,blak oak,Black oak,Oak,Illinois v2.0,
blck oak,blck oak,Black oak,Oak,Illinois v2.0,
blk gum,blk gum,Black gum,Black gum,Illinois v2.0,
blk hickory,blk hickory,Hickory,Hickory,Illinois v2.0,
blk jack,blk jack,Blackjack oak,Oak,Illinois v2.0,
blk o,blk o,Black oak,Oak,Illinois v2.0,
blk oak,blk oak,Black oak,Oak,Illinois v2.0,
